ID,Predicted_AwT_score,Predicted_SoE_score
11186268,0.54253274,0.31476212
11186274,0.61980844,0.46656284
11186287,0.6027425,0.1768704
11186290,0.5866538,0.31347352
11186291,0.54410815,0.50347793
11186293,0.5428231,0.20380282
11186297,0.6265972,0.60470474
11186298,0.55213857,0.39626265
11186307,0.509235,0.37056097
11186319,0.5760866,0.4047909
11186324,0.4789244,0.47999617
11186339,0.44416833,0.38316888
11186349,0.5184423,0.5168612
11186379,0.52259105,0.52391255
11186381,0.45322222,0.48688516
11186386,0.4265517,0.28408986
11186390,0.55176115,0.35283515
11186391,0.56059325,0.39518195
11186400,0.55994487,0.28696802
11186405,0.562176,0.5076693
11186408,0.44444203,0.26531878
11186410,0.5459037,0.40360633
11186412,0.5241542,0.39390534
11186443,0.54508114,0.49667707
11186457,0.6081908,0.49282655
11186462,0.46649066,0.4877542
11186467,0.5737108,0.32213452
11186485,0.55478275,0.41717324
11186490,0.52627176,0.34033158
11186498,0.3091604,0.336415
11186502,0.57691455,0.39431214
11186516,0.49334687,0.5263736
11186577,0.54802895,0.40460962
11186586,0.56919765,0.4560702
11186590,0.5752529,0.47842437
11186592,0.6050449,0.55735826
11186626,0.5149382,0.35930356
11186631,0.5639177,0.37743175
11186632,0.52288634,0.3741785
11186638,0.6379251,0.44433028
11186662,0.46064955,0.24669942
11186671,0.51686215,0.46275997
11186672,0.49021268,0.44338286
11186677,0.61822313,0.41427764
11186691,0.6308249,0.591834
